Prof-school,"{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school}","{Prof-school, Some-college}","{Prof-school, Some-college}","{Prof-school, Some-college}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, Preschool, HS-grad}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
11th,"{11th, 12th}","{11th, 12th}","{11th, 12th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
1st-4th,"{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
5th-6th,"{5th-6th}","{5th-6th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
7th-8th,"{7th-8th}","{7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{1st-4th, 5th-6th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Assoc-acdm,"{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Assoc-acdm, Assoc-voc}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
12th,"{11th, 12th}","{11th, 12th}","{11th, 12th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 11th, 12th, 9th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}","{10th, 12th, 11th, 5th-6th, 9th, 1st-4th, 7th-8th}",*
Bachelors,"{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors}","{Bachelors, Masters}","{Bachelors, Masters}","{Bachelors, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Doctorate, Masters}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Some-college,"{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Some-college}","{Prof-school, Some-college}","{Prof-school, Some-college}","{Prof-school, Some-college}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, HS-grad}","{Prof-school, Some-college, Preschool, HS-grad}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
Preschool,"{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Preschool}","{Prof-school, Some-college, Preschool, HS-grad}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Doctorate, HS-grad, Some-college, Masters, Preschool}","{Bachelors, Prof-school, Assoc-acdm, Doctorate, HS-grad, Some-college, Masters, Assoc-voc, Preschool}",*
